signal,horizon_d,n,mean_IC,IC_IR,t_stat,IC_pos_%,top3_%pa,bot3_%pa,spread_%pa
mom20,5,370,0.0336,0.079,1.53,54.1,8.55,4.99,3.56
mom20,10,185,0.0335,0.081,1.11,53.5,6.4,4.64,1.76
mom20,21,88,0.03,0.07,0.66,51.1,10.06,6.4,3.66
mom60,5,370,0.0178,0.042,0.81,47.6,5.92,5.72,0.2
mom60,10,185,0.0383,0.093,1.27,54.6,5.74,5.05,0.68
mom60,21,88,-0.006,-0.015,-0.15,46.6,0.94,2.58,-1.64
mom120,5,370,0.0645,0.15,2.89,54.1,9.06,0.8,8.26
mom120,10,185,0.0717,0.168,2.28,59.5,7.96,1.43,6.52
mom120,21,88,0.0643,0.152,1.42,58.0,7.49,-1.27,8.75
blend,5,370,0.0474,0.114,2.18,53.2,12.77,4.13,8.64
blend,10,185,0.0688,0.172,2.34,59.5,14.71,6.84,7.87
blend,21,88,0.0361,0.089,0.84,53.4,11.65,5.6,6.05
